,name,founded_year,total_money_raised,offices
0,CircleUp,2011,$9M,"[{'latitude': None, 'longitude': None}]"
1,PeekYou,2012,$1.83M,"[{'latitude': 40.757929, 'longitude': -73.985506}]"
2,GENWI,2010,$7.1M,"[{'latitude': 33.8171, 'longitude': -111.9035}]"
3,Mobovivo,2009,C$1M,"[{'latitude': None, 'longitude': None}]"
4,Needium,2010,$1M,"[{'latitude': 45.5049305, 'longitude': -73.5681635}]"
5,Pinger,2012,$18.5M,"[{'latitude': None, 'longitude': None}]"
6,Widgetbox,2012,$14.5M,"[{'latitude': 37.798853, 'longitude': -122.398599}]"
7,Skydeck,2012,$4M,"[{'latitude': 37.5645375, 'longitude': -122.3254705}]"
8,Moblica,2011,$6M,"[{'latitude': 32.0554, 'longitude': 34.7595}]"
9,TeamSnap,2009,$5.08M,"[{'latitude': None, 'longitude': None}]"
10,GetYourGuide,2009,$16M,"[{'latitude': 47.3912899, 'longitude': 8.5082891}, {'latitude': None, 'longitude': None}, {'latitude': None, 'longitude': None}]"
11,travelmob,2011,$1M,"[{'latitude': 21.303049, 'longitude': -157.78907}]"
12,UsingMiles,2010,$3.27M,"[{'latitude': 39.749671, 'longitude': -104.9998449}]"
13,travelmob,2011,$1M,"[{'latitude': 21.303049, 'longitude': -157.78907}]"
14,UsingMiles,2010,$3.27M,"[{'latitude': 39.749671, 'longitude': -104.9998449}]"
15,Webtab,2010,$2M,"[{'latitude': None, 'longitude': None}]"
16,Emotive Communications,2011,$14M,"[{'latitude': None, 'longitude': None}]"
17,StudyBlue,2009,$18.5M,"[{'latitude': 43.068006, 'longitude': -89.39256}]"
18,HyperWeek,2009,$1.31M,"[{'latitude': 46.2121463, 'longitude': 6.1503245}]"
19,FeedHenry,2010,$9M,"[{'latitude': None, 'longitude': None}, {'latitude': 42.4851017, 'longitude': -71.2089211}]"
20,Jolicloud,2009,$4.2M,"[{'latitude': 48.8566667, 'longitude': 2.3509871}]"
21,Avenir Medical,2010,$4.03M,"[{'latitude': None, 'longitude': None}]"
22,Meez,2009,$10.2M,"[{'latitude': 37.785271, 'longitude': -122.397582}]"
23,Talari Networks,2009,$45.1M,"[{'latitude': 37.317735, 'longitude': -121.949417}, {'latitude': 35.8535092, 'longitude': -78.8267112}]"
24,Isai,2009,$33M,"[{'latitude': None, 'longitude': None}]"
25,DediServe,2009,€1M,"[{'latitude': None, 'longitude': None}, {'latitude': None, 'longitude': None}, {'latitude': None, 'longitude': None}]"
26,Gridstore,2009,€25M,"[{'latitude': 37.4189073, 'longitude': -122.0884286}]"
27,thredUP,2009,$25.8M,"[{'latitude': None, 'longitude': None}]"
28,Cloudkick,2009,$2.75M,"[{'latitude': None, 'longitude': None}]"
29,Foursquare,2009,$147M,"[{'latitude': None, 'longitude': None}, {'latitude': None, 'longitude': None}]"
30,oneforty,2009,$2.35M,"[{'latitude': 42.364014, 'longitude': -71.101375}]"
31,Novira Therapeutics,2009,$44M,"[{'latitude': None, 'longitude': None}]"
32,MyEdu,2009,$18.7M,"[{'latitude': 30.288159, 'longitude': -97.750154}]"
33,Ikanos,2009,$42M,"[{'latitude': 37.4734314, 'longitude': -121.9417078}]"
34,Infochimps,2009,$5.35M,"[{'latitude': 30.2734822, 'longitude': -97.7588828}, {'latitude': None, 'longitude': None}]"
35,Mashape,2010,$1.6M,"[{'latitude': None, 'longitude': None}]"
36,drchrono,2009,$4.13M,"[{'latitude': 37.4202074, 'longitude': -122.0933053}]"
